Index,Title,Company,Date posted,Valid until,Education requirements,Standardized Work Position,Actual Position Name,Seniority,Technology,Location,Online Interview,Accepts Students,Work from Home,Simple Work Position Names,Search Term
68,Software Engineer,IPS-Energy Serbia,11-01-24,27-01-24,Bachelor,Software Developer / Programmer / Engineer,Software Engineer,intermediate,".NET, C#, JavaScript, C++, Jira, C, IPS, Embedded, Agile",Belgrade | Hybrid,TRUE,FALSE,FALSE,Software Developer,FALSE
69,QA Engineer,Planeta Sport d.o.o.,04-01-24,04-02-24,Bachelor,Automation QA Engineer,QA Engineer,intermediate,"SQL, Jira, Confluence, REST, QA",Belgrade | Hybrid,FALSE,FALSE,FALSE,Automation QA Engineer,FALSE
70,Linux System Engineer,TeleTrader d.o.o.,09-01-24,09-02-24,Bachelor,Linux System Administrator,Linux System Engineer,intermediate,"MySQL, Linux, Apache, Git, NginX, VMware, Puppet, Ansible, PostgreSQL, Redis, DNS, TCP/IP, MongoDB, HAProxy",Belgrade,TRUE,FALSE,FALSE,Linux System Administrator,FALSE
71,Software Engineer (Java),Pool4Tool,19-01-24,04-02-24,Bachelor,Java Developer,Software Engineer (Java),senior,"SQL, Java",Belgrade | Hybrid,TRUE,FALSE,FALSE,Java Developer,FALSE
72,Senior Java Software Engineer,Accordia Group,18-01-24,18-02-24,Bachelor,Java Developer,Senior Java Software Engineer,senior,"Spring, Java, Git, JUnit, TestNG, Maven, OOP",Belgrade,FALSE,FALSE,FALSE,Java Developer,FALSE
73,Client Support Engineer,Accordia Group,05-01-24,05-02-24,Bachelor,IT Help Desk / Support,Client Support Engineer,intermediate,"SQL Server, Jira, Confluence, Windows",Nish,FALSE,FALSE,FALSE,IT Help Desk / Support,FALSE
74,Network and Security Engineer,TTTech Auto,16-01-24,16-02-24,Bachelor,Network Administrator / Engineer,Network and Security Engineer,intermediate,"CISCO, VPN",Novi Sad,FALSE,FALSE,FALSE,Network Administrator / Engineer,FALSE
75,Jira Automation Engineer,Cisco Srbija d.o.o.,11-01-24,27-01-24,Bachelor,IT Architect,Jira Automation Engineer,intermediate,"Linux, JavaScript, Java, Python, Jira, Confluence, REST, Groovy",Belgrade,FALSE,FALSE,FALSE,Data Architect,FALSE
76,Senior Software Testing Engineer,Wartsila Voyage d.o.o.,26-12-23,26-01-24,Bachelor,Automation QA Engineer,Senior Software Testing Engineer,senior,"Python, Jira, Confluence, QA, SCRUM, Agile",Belgrade | Hybrid,FALSE,FALSE,FALSE,Automation QA Engineer,FALSE
77,Senior Test Automation Engineer in Embedded,Novelic d.o.o.,05-01-24,05-02-24,Bachelor,Automation QA Engineer,Senior Test Automation Engineer in Embedded,senior,"C++, Python, C, QA, Embedded",Belgrade,FALSE,FALSE,FALSE,Automation QA Engineer,FALSE
78,Lead System Engineer - Patch Management and Monitoring,Portfolio BI,10-01-24,26-01-24,Bachelor,System Administrator / Engineer,Lead System Engineer - Patch Management and Monitoring,senior,"Linux, Windows Server, Git, AWS, Azure, DevOps, PowerShell, SaaS, SNMP, Cloud, MariaDB, Agile, Windows, macOS",Belgrade | Hybrid,TRUE,FALSE,FALSE,System Administrator,FALSE
79,NOC Technician T2,CCBill SRB d.o.o.,22-01-24,22-02-24,Bachelor,IT Help Desk / Support,NOC Technician T2,junior,"Linux, Unix",Belgrade,TRUE,FALSE,FALSE,IT Help Desk / Support,FALSE
80,Content Assembler/Analyst,Perficient d.o.o.,09-01-24,09-02-24,Bachelor,IT Analyst,Content Assembler/Analyst,intermediate,N/A,Remote,TRUE,FALSE,TRUE,Data Analyst,Data Analyst
81,Microsoft 365 Analyst,Strabag AG,27-12-23,27-01-24,Bachelor,Consultant  for Business Software,Microsoft 365 Analyst,intermediate,"SharePoint, Cloud",Belgrade,FALSE,FALSE,FALSE,Consultant  for Business Software,FALSE
82,Product Owner,Logosoft d.o.o.,10-01-24,10-02-24,Bachelor,Menadžer proizvoda,Product Owner,intermediate,"Jira, Confluence, SCRUM, Agile",Belgrade | Hybrid,FALSE,FALSE,FALSE,Product Manager,FALSE
83,Technical Writer Senior,FIS,29-12-23,29-01-24,Bachelor,IT Technical Writer,Technical Writer Senior,senior,"CSS, HTML, Git, Svn, Jira, Agile",Belgrade | Hybrid,FALSE,FALSE,FALSE,IT Technical Writer,FALSE
84,IT Infrastructure Specialist - Windows and Microsoft 365,TTTech Auto,16-01-24,16-02-24,Bachelor,System Administrator / Engineer,IT Infrastructure Specialist - Windows and Microsoft 365,intermediate,"SharePoint, Windows Server, Windows, PowerShell, DNS, Cloud, Active Directory",Novi Sad,FALSE,FALSE,FALSE,System Administrator,FALSE
85,Middle Business Analyst,eWave Commerce,04-01-22,26-01-24,Bachelor,IT Analyst,Middle Business Analyst,intermediate,N/A,Remote,FALSE,FALSE,TRUE,Business Analyst,Business Analyst
